id,name,name_norm,label,match_source,district,address,typecode,type,tag,lng,lat
B0HKLZPLON,Like拾欢(华乐苑1期店),Like拾欢,non_chicken,,海珠区,新港西路237号14号铺,050000,餐饮服务;餐饮相关场所;餐饮相关,,113.308653,23.098697
B0FFGYVW6S,陶陶居酒家(丽影广场店),陶陶居酒家,other_chicken,推荐菜,海珠区,新港中路352号丽影广场C区三楼306,050100,餐饮服务;中餐厅;中餐厅,"陶陶居大虾饺,一口酥豆腐,啫啫生菜煲,陶陶居百年烧鹅,鲜果榴莲天鹅酥,蓝莓一口骨,香芒西柠鸡,白搭酱皇蒸凤爪,陶陶居秘制骨,怀旧虾多士,酥皮水牛奶菠萝包,香芒芝士QQ包,手工传统濑粉,干炒牛河,鲍汁凤爪,早茶,豆腐,点心,鸡肉,杨枝甘露,冰镇咕噜肉,脆脆咸煎饼,黑鱼子香菇烧卖皇,XO酱炒萝卜糕,酥皮水牛奶菠萝包,干炒牛河,回味荔湾艇仔粥,陶陶居百年烧鹅,陶陶居叉烧包,干蒸烧麦,西关鲜虾云吞面,啫啫煲,手工传统濑粉,脆脆咸水角,大良双皮奶,陶陶居大虾饺,糖水,炒饭,虾饺,啫啫生菜煲,牛肉",113.313954,23.098391
B00141K807,竹溪一品酒家(广州大道店),竹溪一品酒家,traditional,推荐菜,海珠区,广州大道南880号和平商务中心3楼,050100,餐饮服务;中餐厅;中餐厅,"至尊竹溪烧鹅,葱油淋鸡半只,白切鸡,金丝富贵虾,双色鱼头,黄金豆腐,烧鸡,卤水大盘掌亦,沙姜猪踭,莲藕煲,苦瓜蒸杂粮肉丸,川辣烧饼,香锅牛蛙,青头鸭,元贝,烧鹅,鸡肉,点心,大肠,至尊竹溪烧鹅,香煎葱油饼,农家白切鸡,咸煎饼",113.310129,23.089639
B0JU49E6OT,徐大川剁椒猪脚饭(海珠店),徐大川剁椒猪脚饭,non_chicken,,海珠区,广州大道南839号之一首层自编104-1铺,050100,餐饮服务;中餐厅;中餐厅,"猪脚饭,单人餐",113.31193,23.092856
B0JD7S75VU,御蒸坊荷叶饭(桂田广场店),御蒸坊荷叶饭,non_chicken,,海珠区,桂田广场西门东北80米,050100,餐饮服务;中餐厅;中餐厅,堂食,113.311126,23.094341
B0LKMC5W4N,掂腊稻香烧鹅(客村店),掂腊稻香烧鹅,non_chicken,,海珠区,江海街道广州大道南777号首层自编B04-1,050300,餐饮服务;快餐厅;快餐厅,单人餐,113.310795,23.094455
B0IDO57L5C,eggtoast蛋治(鹭江店),eggtoast蛋治,non_chicken,,海珠区,新港西路景悦街1030铺(鹭江地铁站D口步行400米),050300,餐饮服务;快餐厅;快餐厅,单人餐,113.305682,23.096356
B0FFGWKNXG,东北饺子馆,东北饺子馆,non_chicken,,海珠区,海珠科技创业园西南门东60米,050113,餐饮服务;中餐厅;东北菜,双人餐,113.314076,23.090753
B00140CGKS,成惠食府(赤岗店),成惠食府,other_chicken,推荐菜,海珠区,碧映路558号(赤岗路宏城超市转入),050100,餐饮服务;中餐厅;中餐厅,"碧映鸡,新垦莲藕,猪颈肉,化州捞粉,墨鱼饼,蒸海皖,澳门碳烧猪颈肉,手打鱼丸浸时蔬,甘香陈皮骨,顺德捞起爽鱼皮,铁板茄子,煎酿尖椒,家乡原味猪肚,鸡血浸时蔬,烧汁茄子,大排档,牛肉,顺德鱼皮,香煎叉烧包,鸡肉",113.320729,23.091342
B0KG6MRO51,广味炭炉鸡煲(客村店),广味炭炉鸡煲,other_chicken,招牌,海珠区,艺苑南路290号,050100,餐饮服务;中餐厅;中餐厅,双人餐,113.316175,23.094375
